name,model,brand,price,mileage,url
2020 Chevrolet Spark,Spark,Chevrolet,14990,12361,https://www.carvana.com/vehicle/3457647
2023 Hyundai Elantra,Elantra,Hyundai,22590,6785,https://www.carvana.com/vehicle/3570574
2024 Hyundai IONIQ 6,IONIQ 6,Hyundai,30590,11187,https://www.carvana.com/vehicle/3571522
2020 Ford EcoSport,EcoSport,Ford,16990,21331,https://www.carvana.com/vehicle/3436029
2024 Toyota bZ4X,bZ4X,Toyota,26990,13017,https://www.carvana.com/vehicle/3481863
2016 BMW i3,i3,BMW,13590,40503,https://www.carvana.com/vehicle/3442888
2020 Chevrolet Trax,Trax,Chevrolet,17590,17633,https://www.carvana.com/vehicle/3490116
2018 Dodge Charger,Charger,Dodge,20990,61219,https://www.carvana.com/vehicle/3544046
2024 Nissan Altima,Altima,Nissan,21990,16801,https://www.carvana.com/vehicle/3563119
2019 Volkswagen e-Golf,e-Golf,Volkswagen,14990,29793,https://www.carvana.com/vehicle/3488521
2017 Chevrolet Cruze,Cruze,Chevrolet,15590,21821,https://www.carvana.com/vehicle/3512871
2020 Land Rover Discovery Sport,Discovery Sport,Land Rover,26990,16939,https://www.carvana.com/vehicle/3565157
2024 Hyundai Elantra,Elantra,Hyundai,20590,32883,https://www.carvana.com/vehicle/3531157
2018 Ford EcoSport,EcoSport,Ford,15990,24083,https://www.carvana.com/vehicle/3516650
2024 Kia K5,K5,Kia,28990,25650,https://www.carvana.com/vehicle/3568496
2015 Buick Encore,Encore,Buick,14990,29957,https://www.carvana.com/vehicle/3525582
2017 MINI Hardtop 2 Door,Hardtop 2 Door,MINI,15590,23444,https://www.carvana.com/vehicle/3470973
2023 Ford Escape,Escape,Ford,20990,22815,https://www.carvana.com/vehicle/3382913
2023 Hyundai Elantra,Elantra,Hyundai,21990,20691,https://www.carvana.com/vehicle/3556872
2017 BMW i3,i3,BMW,15990,35496,https://www.carvana.com/vehicle/3432882
2023 Chevrolet Trailblazer,Trailblazer,Chevrolet,21590,31503,https://www.carvana.com/vehicle/3483093
2022 Honda Accord,Accord,Honda,27990,13084,https://www.carvana.com/vehicle/3556526
2023 Hyundai Sonata,Sonata,Hyundai,20590,48514,https://www.carvana.com/vehicle/3585676
2017 BMW 2 Series,2 Series,BMW,20590,37035,https://www.carvana.com/vehicle/3573564
